Product,Region,Province,product_output_kg_year__min,product_output_kg_year__max,ch4_enteric_kg_per_kg_product__min,ch4_enteric_kg_per_kg_product__max,ch4_manure_kg_per_kg_product__min,ch4_manure_kg_per_kg_product__max,n2o_direct_kg_per_kg_product__min,n2o_direct_kg_per_kg_product__max,total_direct_gas_kg_per_kg_product__min,total_direct_gas_kg_per_kg_product__max,water_l_per_kg_product__min,water_l_per_kg_product__max,electricity_kwh_per_kg_product__min,electricity_kwh_per_kg_product__max,area_ha_per_kg_product__min,area_ha_per_kg_product__max,total_feed_kg_per_kg_product__min,total_feed_kg_per_kg_product__max,supplement_feed_kg_per_kg_product__min,supplement_feed_kg_per_kg_product__max,pasture_feed_kg_per_kg_product__min,pasture_feed_kg_per_kg_product__max,unmatched_pasture_feed_kg_per_kg_product__min,unmatched_pasture_feed_kg_per_kg_product__max,nh3_total_kg_per_kg_product__min,nh3_total_kg_per_kg_product__max,nh3_housing_kg_per_kg_product__min,nh3_housing_kg_per_kg_product__max,nh3_grazing_kg_per_kg_product__min,nh3_grazing_kg_per_kg_product__max,nox_as_no2_kg_per_kg_product__min,nox_as_no2_kg_per_kg_product__max,animals_total_live_weight_kg_per_kg_product__min,animals_total_live_weight_kg_per_kg_product__max,farm_total_live_weight_kg__min,farm_total_live_weight_kg__max,attributed_live_weight_kg__min,attributed_live_weight_kg__max
cattle_meat,(unknown),ZONA NO DELIMITADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,(unknown),ZONA NO DELIMITADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,(unknown),ZONA NO DELIMITADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,(unknown),ZONA NO DELIMITADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,(unknown),ZONA NO DELIMITADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Costa,EL ORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggs,Costa,EL ORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Costa,EL ORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Costa,EL ORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Costa,EL ORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,Costa,EL ORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Costa,EL ORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Costa,ESMERALDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Costa,ESMERALDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Costa,ESMERALDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,Costa,ESMERALDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Costa,ESMERALDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Costa,GUAYAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggs,Costa,GUAYAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Costa,GUAYAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Costa,GUAYAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Costa,GUAYAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Costa,GUAYAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Costa,LOS RÍOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggs,Costa,LOS RÍOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Costa,LOS RÍOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Costa,LOS RÍOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Costa,LOS RÍOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Costa,LOS RÍOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Costa,MANABÍ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggs,Costa,MANABÍ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Costa,MANABÍ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Costa,MANABÍ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Costa,MANABÍ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Costa,MANABÍ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Costa,SANTA ELENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggs,Costa,SANTA ELENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Costa,SANTA ELENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Costa,SANTA ELENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Costa,SANTA ELENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Costa,SANTA ELENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Costa,SANTO DOMINGO DE LOS TSÁCHILAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggs,Costa,SANTO DOMINGO DE LOS TSÁCHILAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Costa,SANTO DOMINGO DE LOS TSÁCHILAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Costa,SANTO DOMINGO DE LOS TSÁCHILAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Costa,SANTO DOMINGO DE LOS TSÁCHILAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Costa,SANTO DOMINGO DE LOS TSÁCHILAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Oriente,MORONA SANTIAGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggs,Oriente,MORONA SANTIAGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Oriente,MORONA SANTIAGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Oriente,MORONA SANTIAGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Oriente,MORONA SANTIAGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,Oriente,MORONA SANTIAGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Oriente,MORONA SANTIAGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Oriente,NAPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Oriente,NAPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Oriente,NAPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Oriente,NAPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,Oriente,NAPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Oriente,NAPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Oriente,ORELLANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Oriente,ORELLANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Oriente,ORELLANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Oriente,ORELLANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,Oriente,ORELLANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Oriente,ORELLANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Oriente,PASTAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggs,Oriente,PASTAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Oriente,PASTAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Oriente,PASTAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Oriente,PASTAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,Oriente,PASTAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Oriente,PASTAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Oriente,SUCUMBÍOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Oriente,SUCUMBÍOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Oriente,SUCUMBÍOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,Oriente,SUCUMBÍOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Oriente,SUCUMBÍOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Oriente,ZAMORA CHINCHIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Oriente,ZAMORA CHINCHIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Oriente,ZAMORA CHINCHIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Oriente,ZAMORA CHINCHIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,Oriente,ZAMORA CHINCHIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Oriente,ZAMORA CHINCHIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Sierra,AZUAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggs,Sierra,AZUAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Sierra,AZUAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Sierra,AZUAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Sierra,AZUAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,Sierra,AZUAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Sierra,AZUAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Sierra,BOLÍVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Sierra,BOLÍVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Sierra,BOLÍVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Sierra,BOLÍVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Sierra,BOLÍVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Sierra,CARCHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggs,Sierra,CARCHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Sierra,CARCHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Sierra,CARCHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Sierra,CARCHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,Sierra,CARCHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Sierra,CARCHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Sierra,CAÑAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Sierra,CAÑAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Sierra,CAÑAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Sierra,CAÑAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,Sierra,CAÑAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Sierra,CAÑAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Sierra,CHIMBORAZO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggs,Sierra,CHIMBORAZO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Sierra,CHIMBORAZO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Sierra,CHIMBORAZO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Sierra,CHIMBORAZO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,Sierra,CHIMBORAZO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Sierra,CHIMBORAZO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Sierra,COTOPAXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggs,Sierra,COTOPAXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Sierra,COTOPAXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Sierra,COTOPAXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Sierra,COTOPAXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,Sierra,COTOPAXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Sierra,COTOPAXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Sierra,IMBABURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Sierra,IMBABURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Sierra,IMBABURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Sierra,IMBABURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,Sierra,IMBABURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Sierra,IMBABURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Sierra,LOJA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggs,Sierra,LOJA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Sierra,LOJA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Sierra,LOJA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Sierra,LOJA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,Sierra,LOJA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Sierra,LOJA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Sierra,PICHINCHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggs,Sierra,PICHINCHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Sierra,PICHINCHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Sierra,PICHINCHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Sierra,PICHINCHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,Sierra,PICHINCHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Sierra,PICHINCHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cattle_meat,Sierra,TUNGURAHUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggs,Sierra,TUNGURAHUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat_poultry,Sierra,TUNGURAHUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,Sierra,TUNGURAHUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other_livestock_live,Sierra,TUNGURAHUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovine_live,Sierra,TUNGURAHUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swine_live,Sierra,TUNGURAHUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
