Crop,proxy_category,source_crop_match,Fuel_MJha_median,Fuel_MJha_min,Fuel_MJha_max
AGUACATE (FRUTA FRESCA),perennial,,8119.992,6419.986,11440.014
ARROZ (EN CÁSCARA),starch,rice,6019.998,2204.988,6019.998
ARVEJA SECA (GRANO SECO),starch,bean,2669.994,2204.988,5325.016
ARVEJA TIERNA (VAINA),starch,bean,2669.994,2204.988,5325.016
BANANO (FRUTA FRESCA),horticultural,banana,3530.01,3530.01,12885.002
BROCOLI,horticultural,,9829.992,7970.006,12885.002
CACAO (ALMENDRA SECA),perennial,,8119.992,6419.986,11440.014
CAFÉ (GRANO ORO),perennial,coffee,8119.992,6419.986,11440.014
CAÑA DE AZÚCAR / AZÚCAR (TALLO FRESCO),perennial,sugarcane,4720.018,4720.018,11440.014
CAÑA DE AZÚCAR / OTROS USOS (TALLO FRESCO),perennial,sugarcane,4720.018,4720.018,11440.014
CEBADA,starch,wheat,1929.982,1929.982,5325.016
CEBOLLA BLANCA,horticultural,onion,15659.99,7970.006,15659.99
FREJOL SECO (GRANO SECO),starch,bean,2669.994,2204.988,5325.016
FREJOL TIERNO (VAINA),starch,bean,2669.994,2204.988,5325.016
HABA SECA (GRANO SECO),starch,bean,2669.994,2204.988,5325.016
HABA TIERNA (VAINA),starch,bean,2669.994,2204.988,5325.016
LIMÓN (FRUTA FRESCA),perennial,citrus,14759.998,6419.986,14759.998
MAIZ DURO CHOCLO (CHOCLO),starch,maize,2049.986,2049.986,5325.016
MAIZ DURO SECO (GRANO SECO),starch,maize,2049.986,2049.986,5325.016
MAIZ SUAVE CHOCLO (CHOCLO),starch,maize,2049.986,2049.986,5325.016
MAIZ SUAVE SECO (GRANO SECO),starch,maize,2049.986,2049.986,5325.016
MANGO (FRUTA FRESCA),perennial,,8119.992,6419.986,11440.014
MANI,oil,peanut,3309.99,1114.996,3309.99
MARACUYÁ (FRUTA FRESCA),perennial,,8119.992,6419.986,11440.014
NARANJA (FRUTA FRESCA),perennial,citrus,14759.998,6419.986,14759.998
ORITO (FRUTA FRESCA),horticultural,banana,3530.01,3530.01,12885.002
OTROS PERMANENTES,perennial,,8119.992,6419.986,11440.014
OTROS TRANSITORIOS,starch,,2954.994,2204.988,5325.016
PALMA AFRICANA (FRUTA FRESCA),oil,palm,709.992,709.992,2450.012
PALMITO (TALLO FRESCO),perennial,,8119.992,6419.986,11440.014
PAPA,starch,potato,7030.0,2204.988,7030.0
PIÑA (FRUTA FRESCA),perennial,,8119.992,6419.986,11440.014
PLÁTANO (FRUTA FRESCA),horticultural,banana,3530.01,3530.01,12885.002
QUINUA,starch,,2954.994,2204.988,5325.016
SOYA,oil,soybean_parana,1589.996,1114.996,2450.012
TABACO,fiber,cotton,4430.002,4430.002,4430.002
TOMATE DE ÁRBOL (FRUTA FRESCA),perennial,,8119.992,6419.986,11440.014
TOMATE RIÑON,horticultural,tomato,9009.99,7970.006,12885.002
TRIGO,starch,wheat,1929.982,1929.982,5325.016
YUCA,starch,cassava,3239.994,2204.988,5325.016
