calculation_results_product_1,comparar_evaluacion_del_impacto_1_kg_crop_arroz_en_cascara_category_transitory_region_costa_province_el_oro_summary_strategy_1_del_proyecto_ecuador_needs,crop_arroz_en_cascara_category_transitory_region_costa_province_el_oro_summary_strategy_1,crop_arroz_en_cascara_category_transitory_region_costa_province_guayas_summary_strategy_1,crop_arroz_en_cascara_category_transitory_region_costa_province_los_rios_summary_strategy_1,crop_arroz_en_cascara_category_transitory_region_costa_province_manabi_summary_strategy_1,crop_arroz_en_cascara_category_transitory_region_oriente_province_orellana_summary_strategy_1,crop_arroz_en_cascara_category_transitory_region_oriente_province_sucumbios_summary_strategy_1,crop_arroz_en_cascara_category_transitory_region_sierra_province_bolivar_summary_strategy_1,crop_arroz_en_cascara_category_transitory_region_sierra_province_cotopaxi_summary_strategy_1,crop_arroz_en_cascara_category_transitory_region_sierra_province_loja_summary_strategy_1,calculation_results_product_1_2,comparar_evaluacion_del_impacto_1_kg_crop_cacao_almendra_seca_category_permanent_region_costa_summary_strategy_2_del_proyecto_ecuador_needs,crop_cacao_almendra_seca_category_permanent_region_costa_summary_strategy_2,cropping_system_associated_crop_cacao_almendra_seca_category_permanent_region_costa_summary_strategy_4,cropping_system_mono_crop_cacao_almendra_seca_category_permanent_region_costa_summary_strategy_4,crop_cacao_almendra_seca_category_permanent_region_oriente_summary_strategy_2,cropping_system_associated_crop_cacao_almendra_seca_category_permanent_region_oriente_summary_strategy_4,cropping_system_mono_crop_cacao_almendra_seca_category_permanent_region_oriente_summary_strategy_4,crop_cacao_almendra_seca_category_permanent_region_sierra_summary_strategy_2,cropping_system_associated_crop_cacao_almendra_seca_category_permanent_region_sierra_summary_strategy_4,cropping_system_mono_crop_cacao_almendra_seca_category_permanent_region_sierra_summary_strategy_4
Results: ,Evaluación del impacto,,,,,,,,,,Results: ,Evaluación del impacto,,,,,,,,,
Product 1: ,1 kg crop: ARROZ (EN CÁSCARA) | category: transitory | region: costa | province: EL ORO | summary: strategy_1 (del proyecto Ecuador_needs),,,,,,,,,,Product 1: ,1 kg crop: CACAO (ALMENDRA SECA) | category: permanent | region: costa | summary: strategy_2 (del proyecto Ecuador_needs),,,,,,,,,
Product 2: ,1 kg crop: ARROZ (EN CÁSCARA) | category: transitory | region: costa | province: GUAYAS | summary: strategy_1 (del proyecto Ecuador_needs),,,,,,,,,,Product 2: ,1 kg cropping system: associated | crop: CACAO (ALMENDRA SECA) | category: permanent | region: costa | summary: strategy_4 (del proyecto Ecuador_needs),,,,,,,,,
Product 3: ,1 kg crop: ARROZ (EN CÁSCARA) | category: transitory | region: costa | province: LOS RÍOS | summary: strategy_1 (del proyecto Ecuador_needs),,,,,,,,,,Product 3: ,1 kg cropping system: mono | crop: CACAO (ALMENDRA SECA) | category: permanent | region: costa | summary: strategy_4 (del proyecto Ecuador_needs),,,,,,,,,
Product 4: ,1 kg crop: ARROZ (EN CÁSCARA) | category: transitory | region: costa | province: MANABÍ | summary: strategy_1 (del proyecto Ecuador_needs),,,,,,,,,,Product 4: ,1 kg crop: CACAO (ALMENDRA SECA) | category: permanent | region: oriente | summary: strategy_2 (del proyecto Ecuador_needs),,,,,,,,,
Product 5: ,1 kg crop: ARROZ (EN CÁSCARA) | category: transitory | region: oriente | province: ORELLANA | summary: strategy_1 (del proyecto Ecuador_needs),,,,,,,,,,Product 5: ,1 kg cropping system: associated | crop: CACAO (ALMENDRA SECA) | category: permanent | region: oriente | summary: strategy_4 (del proyecto Ecuador_needs),,,,,,,,,
Product 6: ,1 kg crop: ARROZ (EN CÁSCARA) | category: transitory | region: oriente | province: SUCUMBÍOS | summary: strategy_1 (del proyecto Ecuador_needs),,,,,,,,,,Product 6: ,1 kg cropping system: mono | crop: CACAO (ALMENDRA SECA) | category: permanent | region: oriente | summary: strategy_4 (del proyecto Ecuador_needs),,,,,,,,,
Product 7: ,1 kg crop: ARROZ (EN CÁSCARA) | category: transitory | region: sierra | province: BOLÍVAR | summary: strategy_1 (del proyecto Ecuador_needs),,,,,,,,,,Product 7: ,1 kg crop: CACAO (ALMENDRA SECA) | category: permanent | region: sierra | summary: strategy_2 (del proyecto Ecuador_needs),,,,,,,,,
Product 8: ,1 kg crop: ARROZ (EN CÁSCARA) | category: transitory | region: sierra | province: COTOPAXI | summary: strategy_1 (del proyecto Ecuador_needs),,,,,,,,,,Product 8: ,1 kg cropping system: associated | crop: CACAO (ALMENDRA SECA) | category: permanent | region: sierra | summary: strategy_4 (del proyecto Ecuador_needs),,,,,,,,,
Product 9: ,1 kg crop: ARROZ (EN CÁSCARA) | category: transitory | region: sierra | province: LOJA | summary: strategy_1 (del proyecto Ecuador_needs),,,,,,,,,,Product 9: ,1 kg cropping system: mono | crop: CACAO (ALMENDRA SECA) | category: permanent | region: sierra | summary: strategy_4 (del proyecto Ecuador_needs),,,,,,,,,
Método: ,IMPACT World+ Expert 2.2.1 (incl. CO2 uptake) V2.02 / IMPACT World+ (Stepwise 2006 values),,,,,,,,,,Método: ,IMPACT World+ Expert 2.2.1 (incl. CO2 uptake) V2.02 / IMPACT World+ (Stepwise 2006 values),,,,,,,,,
Indicador: ,Puntuación única,,,,,,,,,,Indicador: ,Puntuación única,,,,,,,,,
Skip categories: ,Nunca,,,,,,,,,,Skip categories: ,Nunca,,,,,,,,,
Default units: ,No,,,,,,,,,,Default units: ,No,,,,,,,,,
Excluir procesos de infrastructura: ,No,,,,,,,,,,Excluir procesos de infrastructura: ,No,,,,,,,,,
Excluir emisiones a largo plazo: ,No,,,,,,,,,,Excluir emisiones a largo plazo: ,No,,,,,,,,,
Per impact category: ,No,,,,,,,,,,Per impact category: ,No,,,,,,,,,
Sorted on item: ,Daño de categoría,,,,,,,,,,Sorted on item: ,Daño de categoría,,,,,,,,,
Sort order: ,Ascendente,,,,,,,,,,Sort order: ,Ascendente,,,,,,,,,
Daño de categoría,Unidad,crop: ARROZ (EN CÁSCARA) | category: transitory | region: costa | province: EL ORO | summary: strategy_1,crop: ARROZ (EN CÁSCARA) | category: transitory | region: costa | province: GUAYAS | summary: strategy_1,crop: ARROZ (EN CÁSCARA) | category: transitory | region: costa | province: LOS RÍOS | summary: strategy_1,crop: ARROZ (EN CÁSCARA) | category: transitory | region: costa | province: MANABÍ | summary: strategy_1,crop: ARROZ (EN CÁSCARA) | category: transitory | region: oriente | province: ORELLANA | summary: strategy_1,crop: ARROZ (EN CÁSCARA) | category: transitory | region: oriente | province: SUCUMBÍOS | summary: strategy_1,crop: ARROZ (EN CÁSCARA) | category: transitory | region: sierra | province: BOLÍVAR | summary: strategy_1,crop: ARROZ (EN CÁSCARA) | category: transitory | region: sierra | province: COTOPAXI | summary: strategy_1,crop: ARROZ (EN CÁSCARA) | category: transitory | region: sierra | province: LOJA | summary: strategy_1,Daño de categoría,Unidad,crop: CACAO (ALMENDRA SECA) | category: permanent | region: costa | summary: strategy_2,cropping system: associated | crop: CACAO (ALMENDRA SECA) | category: permanent | region: costa | summary: strategy_4,cropping system: mono | crop: CACAO (ALMENDRA SECA) | category: permanent | region: costa | summary: strategy_4,crop: CACAO (ALMENDRA SECA) | category: permanent | region: oriente | summary: strategy_2,cropping system: associated | crop: CACAO (ALMENDRA SECA) | category: permanent | region: oriente | summary: strategy_4,cropping system: mono | crop: CACAO (ALMENDRA SECA) | category: permanent | region: oriente | summary: strategy_4,crop: CACAO (ALMENDRA SECA) | category: permanent | region: sierra | summary: strategy_2,cropping system: associated | crop: CACAO (ALMENDRA SECA) | category: permanent | region: sierra | summary: strategy_4,cropping system: mono | crop: CACAO (ALMENDRA SECA) | category: permanent | region: sierra | summary: strategy_4
Total,Pt,0.68546135,0.78432635,0.74842641,0.8642313,1.5572368,1.3946603,0.25656401,1.1798268,0.62733685,Total,Pt,7.1094908,7.9891382,6.9051179,8.8894569,4.443749,8.7874603,6.1090634,5.7265407,6.6520478
Human health,Pt,0.3674893,0.43619325,0.41632525,0.4849692,0.38841985,0.38025175,0.070839577,0.30901615,0.35410137,Human health,Pt,4.7569453,5.2675787,4.6237357,6.1760221,1.3602906,6.1062571,4.1227093,3.8515346,4.454552
Ecosystem quality,Pt,0.31797204,0.3481331,0.33210116,0.37926211,1.168817,1.0144086,0.18572444,0.87081064,0.27323548,Ecosystem quality,Pt,2.3525455,2.7215595,2.2813822,2.7134349,3.0834584,2.6812032,1.9863542,1.8750061,2.1974959
