impact_category,unidad_pt,mean,median,sd,cv_72_073391,p025,p975,sem_0_13280497,source_summary_file,source_inventory_level,source_key,n
Puntuación única,Pt,5.8269244,6.0990465,4.199662,72.073391,-4.4993868,13.783837,0.13280497,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,puntuacion unica,4045
Daño de categoría,Unidad,,,,CV,0.025,0.975,SEM,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,dano de categoria,4045
Ecosystem quality,Pt,2.9233755,2.865672,0.47830993,16.361563,2.1137975,3.9962129,0.015125488,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,ecosystem quality,4045
Human health,Pt,2.9035489,3.2912881,4.1154053,141.73708,-7.296275,10.527294,0.13014054,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,human health,4045
Categoría de impacto,Unidad,,,,CV,0.025,0.975,SEM,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,categoria de impacto,4045
CC. EQ. mar. LT. biogenic (beta),PDF.m2.yr,0.57807404,0.56970211,0.10913914,18.879785,0.38534664,0.79269215,0.0034512825,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. eq. mar. lt. biogenic (beta),4045
CC. EQ. mar. LT. CO2 uptake (beta),PDF.m2.yr,-0.17634605,-0.15341771,0.095461343,-54.132962,-0.43284391,-0.060522616,0.0030187527,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. eq. mar. lt. co2 uptake (beta),4045
CC. EQ. mar. LT. fossil (beta),PDF.m2.yr,2.4594632,2.4316808,0.3098794,12.599473,1.9301844,3.0772369,0.0097992469,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. eq. mar. lt. fossil (beta),4045
CC. EQ. mar. LT. land transformation (be,PDF.m2.yr,4.8178681,4.7119205,0.97683083,20.275167,3.1958126,6.8340591,0.030890103,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. eq. mar. lt. land transformation (be,4045
CC. EQ. mar. ST. biogenic (beta),PDF.m2.yr,1.3552837,1.3352787,0.25392047,18.735595,0.91752263,1.8738954,0.0080296703,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. eq. mar. st. biogenic (beta),4045
CC. EQ. mar. ST. CO2 uptake (beta),PDF.m2.yr,-0.050832601,-0.044223395,0.027517193,-54.132962,-0.12476935,-0.017445936,0.00087017004,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. eq. mar. st. co2 uptake (beta),4045
CC. EQ. mar. ST. fossil (beta),PDF.m2.yr,2.8311655,2.8196416,0.15972075,5.6415191,2.5453898,3.1637601,0.0050508134,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. eq. mar. st. fossil (beta),4045
CC. EQ. mar. ST. land transformation (be,PDF.m2.yr,1.3887797,1.3582396,0.28157721,20.275153,0.92121239,1.9699585,0.0089042533,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. eq. mar. st. land transformation (be,4045
CC. EQ. terr. LT. biogenic,PDF.m2.yr,0.082577112,0.081381192,0.015590381,18.879785,0.055046258,0.11323502,0.00049301115,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. eq. terr. lt. biogenic,4045
CC. EQ. terr. LT. CO2 uptake,PDF.m2.yr,-0.025190801,-0.021915516,0.013636527,-54.132962,-0.06183118,-0.0086455756,0.00043122483,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. eq. terr. lt. co2 uptake,4045
CC. EQ. terr. LT. fossil,PDF.m2.yr,0.35133107,0.34736239,0.044265862,12.599473,0.27572429,0.43957922,0.0013998095,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. eq. terr. lt. fossil,4045
CC. EQ. terr. LT. land transformation,PDF.m2.yr,0.68822609,0.67309161,0.13953899,20.275167,0.45651761,0.97623631,0.0044126104,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. eq. terr. lt. land transformation,4045
CC. EQ. terr. ST. biogenic,PDF.m2.yr,0.19360048,0.1907428,0.036272203,18.735595,0.13106689,0.26768348,0.0011470278,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. eq. terr. st. biogenic,4045
CC. EQ. terr. ST. CO2 uptake,PDF.m2.yr,-0.0072613699,-0.0063172534,0.0039307946,-54.132962,-0.017823136,-0.0024921289,0.00012430264,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. eq. terr. st. co2 uptake,4045
CC. EQ. terr. ST. fossil,PDF.m2.yr,0.40442825,0.40278208,0.022815897,5.6415191,0.36360556,0.45193895,0.00072150202,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. eq. terr. st. fossil,4045
CC. EQ. terr. ST. land transformation,PDF.m2.yr,0.19838534,0.19402273,0.040222932,20.275153,0.13159397,0.28140596,0.0012719608,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. eq. terr. st. land transformation,4045
CC. HH. LT. biogenic,DALY,1.2035894e-06,1.1861585e-06,2.2723509e-07,18.879785,8.0231786e-07,1.6504389e-06,7.1858045e-09,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. hh. lt. biogenic,4045
CC. HH. LT. CO2 uptake,DALY,-3.6716445e-07,-3.1942608e-07,1.98757e-07,-54.132962,-9.012104e-07,-1.2601219e-07,6.2852481e-09,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. hh. lt. co2 uptake,4045
CC. HH. LT. fossil,DALY,5.1207694e-06,5.0629245e-06,6.4518994e-07,12.599473,4.0187749e-06,6.4070161e-06,2.0402697e-08,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. hh. lt. fossil,4045
CC. HH. LT. land transformation,DALY,1.0031129e-05,9.8105383e-06,2.0338281e-06,20.275167,6.6538988e-06,1.4228975e-05,6.4315291e-08,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. hh. lt. land transformation,4045
CC. HH. ST. biogenic,DALY,2.8217927e-06,2.780141e-06,5.2867966e-07,18.735595,1.9103444e-06,3.9015775e-06,1.6718319e-08,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. hh. st. biogenic,4045
CC. HH. ST. CO2 uptake,DALY,-1.0583693e-07,-9.2076109e-08,5.7292664e-08,-54.132962,-2.5977825e-07,-3.6323623e-08,1.8117531e-09,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. hh. st. co2 uptake,4045
CC. HH. ST. fossil,DALY,5.8946788e-06,5.8706852e-06,3.3254943e-07,5.6415191,5.2996743e-06,6.5871633e-06,1.0516136e-08,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. hh. st. fossil,4045
CC. HH. ST. land transformation,DALY,2.8915336e-06,2.827947e-06,5.8626287e-07,20.275153,1.9180267e-06,4.1015873e-06,1.853926e-08,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,cc. hh. st. land transformation,4045
Fisheries impact,PDF.m2.yr,2.8635512e-19,2.6909278e-19,9.2142576e-20,32.177729,1.5304129e-19,5.0838194e-19,2.9138041e-21,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,uncertainty,fisheries impact,4045
