system,sample_key,product,data_points,inventory_items_considered
crop,cereals,MAIZ SUAVE SECO (GRANO SECO),2736,K fertilizer (AS); N fertilizer (AN); N2O-N emissions; NOx emissions; NPK fertilizer; P fertilizer (AP); ammonia emissions; fermented organic fertilizer; fuel; liquid organic fertilizer; manure; nitrate emissions; pesticide emissions; phosphorus emissions; seeds/planting material; trace element emissions
crop,fruits,OTROS PERMANENTES,1899,K fertilizer (AS); N fertilizer (AN); N2O-N emissions; NOx emissions; NPK fertilizer; P fertilizer (AP); ammonia emissions; fermented organic fertilizer; fuel; liquid organic fertilizer; manure; mineral fertilizers; nitrate emissions; pesticide emissions; phosphorus emissions; soil carbon stock change; trace element emissions
crop,industrial_cash,CACAO (ALMENDRA SECA),5628,K fertilizer (AS); N fertilizer (AN); N2O-N emissions; NOx emissions; NPK fertilizer; P fertilizer (AP); ammonia emissions; fermented organic fertilizer; fuel; liquid organic fertilizer; manure; mineral fertilizers; nitrate emissions; pesticide emissions; phosphorus emissions; seeds/planting material; soil carbon stock change; trace element emissions
crop,pulses_oilseeds,FREJOL SECO (GRANO SECO),1255,K fertilizer (AS); N fertilizer (AN); N2O-N emissions; NOx emissions; NPK fertilizer; ammonia emissions; fermented organic fertilizer; fuel; liquid organic fertilizer; manure; nitrate emissions; pesticide emissions; phosphorus emissions; seeds/planting material; trace element emissions
crop,roots_tubers,PAPA,688,K fertilizer (AS); N fertilizer (AN); N2O-N emissions; NOx emissions; NPK fertilizer; P fertilizer (AP); ammonia emissions; fermented organic fertilizer; fuel; liquid organic fertilizer; manure; mineral fertilizers; nitrate emissions; organic fertilizers; pesticide emissions; phosphorus emissions; seeds/planting material; trace element emissions
crop,vegetables,OTROS TRANSITORIOS,1786,K fertilizer (AS); N fertilizer (AN); N2O-N emissions; NOx emissions; NPK fertilizer; P fertilizer (AP); ammonia emissions; fermented organic fertilizer; fuel; liquid organic fertilizer; manure; mineral fertilizers; nitrate emissions; pesticide emissions; phosphorus emissions; seeds/planting material; trace element emissions
livestock,beef,cattle_live,12441,N2O emissions; N2O-N emissions; NOx emissions; ammonia emissions; feed; methane emissions; pasture feed; supplement feed; water
livestock,eggs,eggs,251,N2O emissions; N2O-N emissions; NOx emissions; ammonia emissions; compound/common feed; electricity; feed; methane emissions; water
livestock,milk,milk,10168,N2O emissions; N2O-N emissions; NOx emissions; ammonia emissions; electricity; feed; methane emissions; pasture feed; supplement feed; water
livestock,poultry,meat_poultry,6,N2O emissions; N2O-N emissions; NOx emissions; ammonia emissions; compound/common feed; electricity; feed; methane emissions; water
livestock,swine,swine_live,4599,N2O emissions; N2O-N emissions; NOx emissions; ammonia emissions; compound/common feed; electricity; feed; methane emissions; supplement feed; waste/byproduct feed; water
